Question	Semester_F_value	Semester_p_value	Gender_F_value	Gender_p_value	`Race/Ethnicity`_F_value	`Race/Ethnicity`_p_value
Q01_model	3.2012242634764826e-4	0.9857436176315905	2.1506680646701675	0.14414380881536265	1.2769571492774718	0.2812422425678072
Q02_model	5.087941077426505	0.025197618417717636	1.3113549046877826	0.2535458593530871	0.7772932937405712	0.4610600789771173
Q03_model	0.7873876525805287	0.3759787649927685	0.21905343444218336	0.6402821222658608	0.5105428575516563	0.6009655958532536
Q04_model	3.7565010638464282	0.05403909166482547	0.5156931897826094	0.4735397558229075	0.6731044729742741	0.5112976241537721
Q05_model	0.28304123729157615	0.5953235040503573	0.5821789718534516	0.4463863050364302	0.45235773311858396	0.6367958127247767
Q06_model	0.002307088343060248	0.9617397709113555	0.4957148142653656	0.48222899899315874	0.2585670997684666	0.7724215346794888
Q07_model	2.6937803385943155	0.1023607229532649	2.6790974942498016	0.1032944870949412	0.10235631111862704	0.9027565665760996
Q08_model	0.10051770123075952	0.7515467081455929	0.9624442718322085	0.3277812110726218	0.1731622094146362	0.8411297048859525
Q09_model	0.1988484729509503	0.6561441349754055	1.9936572470294787	0.15954465874233728	0.7483460869833892	0.4744954284445121
Q10_model	0.007590564397938675	0.93066201573259	0.4795490761341249	0.48944627016655207	0.14874400188331227	0.8618868904933863
Q11_model	0.44888327829787217	0.5036543188554212	0.6106926834505173	0.43547005113420534	0.39993446610309064	0.670909771022304
Q12_model	0.12975874407136972	0.719072175659123	0.2121924235261551	0.6455677044354409	0.2743616939327592	0.7603500236245175
Q13_model	9.751794737950163	0.002062788375526081	0.04127745890433517	0.8392140592273973	0.801201500641853	0.45025368041361086
Q14_model	6.457483155756875	0.01182686065860031	0.1341561826033396	0.71455817965689	1.0499071848260924	0.35193999235300066
Q15_model	3.729616854796135	0.05492057576888841	0.0021564903570370137	0.9630091433434965	1.458852040842191	0.23505523867596317
Q16_model	1.76522251590604	0.18551922012476255	0.2529579107058325	0.6155646698548267	0.06647991231549934	0.9357028006136964
Q17_model	1.9253882704071132	0.16683942119030717	0.012975027206878868	0.9094273365680648	0.018008755127932458	0.9821540583906055
Q18_model	0.7510731776931677	0.3871963558286825	0.3839829242032169	0.5361989985669948	0.00958651756753385	0.9904597509882529
Q19_model	0.35541430574074784	0.5517519823207937	0.9696123556789559	0.32599084030055414	0.3518866540324748	0.7038032713010502
Q20_model	0.31641030834048345	0.5744157343058833	0.010249788359320305	0.9194624526159595	0.05276586753793366	0.9486155554538462
Q21_model	2.362026278486307	0.12595839758043373	0.006275371821155858	0.9369419038560105	1.0839570957914866	0.34030452071576034
