ResponseId_pre	Semester	Q1_pre	Q8_pre	Q9_1_pre	Q9_2_pre	Q9_3_pre	Q9_4_pre	Q9_5_pre	Q9_6_pre	Q9_7_pre	Q9_8_pre	Q9_9_pre	Q9_10_pre	Q10_1_pre	Q10_2_pre	Q10_3_pre	Q10_4_pre	Q10_5_pre	Q10_6_pre	Q10_7_pre	Q10_8_pre	Q10_9_pre	Q10_10_pre	Q10_11_pre	Q10_12_pre	Q10_13_pre	Q10_14_pre	Q10_15_pre	Q10_16_pre	Q10_17_pre	Q10_18_pre	Q10_19_pre	Q10_20_pre	Q10_21_pre	Q10_22_pre	Q10_23_pre	Q10_24_pre	Q10_25_pre	Q11_1_pre	Q11_2_pre	Q11_3_pre	Q11_4_pre	Q11_5_pre	Q11_6_pre	Q11_7_pre	Q11_8_pre	Q11_9_pre	Q11_10_pre	Q11_11_pre	Q11_12_pre	Q11_13_pre	Q11_14_pre	Q11_15_pre	Q11_16_pre	Q11_17_pre	Q11_18_pre	Q11_19_pre	Q11_20_pre	Q11_21_pre	Q11_22_pre	Q19_1_pre	Q19_2_pre	Q19_3_pre	Q19_4_pre	Q19_5_pre	Q19_6_pre	Q19_7_pre	Q19_8_pre	Q19_9_pre	Q19_10_pre	Q2_pre	Q3_pre	Q4_pre	Q5_pre	Q6_pre	Q7_pre	Q8_post	Q9_1_post	Q9_2_post	Q9_3_post	Q9_4_post	Q9_5_post	Q9_6_post	Q9_7_post	Q9_8_post	Q9_9_post	Q9_10_post	Q9_11_post	Q9_12_post	Q9_13_post	Q9_14_post	Q9_15_post	Q9_16_post	Q9_17_post	Q9_18_post	Q9_19_post	Q9_20_post	Q9_21_post	Q9_22_post	Q9_23_post	Q9_24_post	Q9_25_post	Q10_1_post	Q10_2_post	Q10_3_post	Q10_4_post	Q10_5_post	Q10_6_post	Q10_7_post	Q10_8_post	Q10_9_post	Q10_10_post	Q10_11_post	Q10_12_post	Q10_13_post	Q10_14_post	Q10_15_post	Q10_16_post	Q10_17_post	Q10_18_post	Q10_19_post	Q10_20_post	Q10_21_post	Q11_1_post	Q11_2_post	Q11_3_post	Q11_4_post	Q13_1_post	Q13_2_post	Q13_3_post	Q13_4_post	Q13_5_post	Q13_6_post	Q13_7_post	Q13_8_post	Q13_9_post	Q13_10_post	Q13_11_post	Q13_12_post	Q13_13_post	Q13_14_post	Q13_15_post	Q13_16_post	Q13_17_post	Q13_18_post	Q13_19_post	Q13_20_post	Q13_21_post	Q13_22_post	Q2_post	Q3_post	Q4_post	Q5_post	Q6_post	Q7_post
R_2f85SQG21zNOTrH	Fall 2023	Agree	My goal is to go to school for a medical degree (M.D.).	Very important	Very important	Very important	Very important	Moderately important	Moderately important	Moderately important	Very important	Not important	Not important	Little	Some	Some	Much	Much	Little	Some	Much	Much	Much	Some	Little	Little	Little	Some	Little	Much	Much	Much	Much	Extensive	Much	Much	Some	Little	Strongly agree	Neutral	Agree	Agree	Neutral	Agree	Disagree	Strongly disagree	Disagree	Agree	Disagree	Agree	Neutral	Agree	Strongly agree	Disagree	Neutral	Neutral	Agree	Agree	Agree	Strongly disagree	3	2	4	3	2	2	2	2	4	3	Male	White	I am a first-year college undergraduate.	No	Undeclared	I am not sure	My goal is to go to school for a medical degree (M.D.).	Little	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	None	None	Much	Much	Some	No gain or very small gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Moderate gain	Large gain	Large gain	Very large gain	Very large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Agree	Neutral	Disagree	Neutral	Strongly disagree	Disagree	Disagree	Strongly agree	Disagree	Neutral	Agree	Agree	Disagree	Disagree	Disagree	Agree	Agree	Neutral	Agree	Strongly disagree	Male	White	I am a first-year college undergraduate.	No	Have not declared	It is likely
R_2cec23FlKVqTwqY	Fall 2023	Agree	My goal is to go to school for an M.D./Ph.D.	Very important	Very important	Very important	Very important	Moderately important	Very important	Very important	Very important	Moderately important	Very important	Much	Some	Little	Much	Some	Some	Much	Much	Much	Some	Little	Little	Much	Much	Some	Some	Some	Little	Much	Some	Some	Much	Some	Little	Little	Agree	Agree	Agree	Neutral	Disagree	Agree	Disagree	Disagree	Agree	Agree	Agree	Agree	Neutral	Neutral	Neutral	Disagree	Disagree	Agree	Disagree	Agree	Agree	Disagree	5	2	2	5	5	5	2	2	5	5	Female	Asian American	I am a first-year college undergraduate.	No	planning on declaring a bio major second semester of sophomore year	Definitely yes	My goal is to go to school for an M.D./Ph.D.	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Some	Little	Extensive	Extensive	Extensive	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Female	Asian American	I am a first-year college undergraduate.	No	cannot declare until second semester of sophomore year	Definitely yes
R_1feHKOIf4ocRPnR	Fall 2023	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Not important	Very important	Moderately important	Moderately important	Very important	Very important	Very important	Very important	Moderately important	Moderately important	Much	Some	Some	Much	Some	Little	Extensive	Some	Much	Much	Much	Some	Much	Some	Much	Extensive	Much	Much	Extensive	Extensive	Much	Much	Much	Some	Little	Agree	Neutral	Strongly agree	Neutral	Disagree	Agree	Disagree	Disagree	Neutral	Strongly agree	Disagree	Neutral	Strongly agree	Neutral	Neutral	Disagree	Disagree	Agree	Neutral	Agree	Strongly agree	Disagree	3	4	5	5	5	3	4	5	5	5	Female	White	I am a second-year college undergraduate	No	I am not declared yet but am planning on majoring in biology and environmental science	Definitely yes	My goal is to go to graduate school for a Masters Degree in the life sciences	Some	Much	Some	Much	Extensive	Extensive	Some	Some	Some	Much	Much	Extensive	Much	Much	Much	Extensive	Extensive	Much	Some	Some	Some	Little	Much	Much	Much	Small gain	Large gain	Moderate gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Small gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Strongly agree	Agree	Disagree	Disagree	Disagree	Disagree	Neutral	Strongly agree	Neutral	Neutral	Strongly agree	Neutral	Neutral	Disagree	Disagree	Agree	Neutral	Agree	Agree	Disagree	Female	White	I am a second-year college undergraduate	No	planning to declare biology and environmental science	Definitely yes
R_2sbVsKmXDJKFIB3	Fall 2023	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Moderately important	Very important	Moderately important	Moderately important	Very important	Moderately important	Very important	Very important	Very important	Moderately important	Some	Much	None	Extensive	Some	Little	Little	Little	Much	Much	None	None	Much	Much	Some	Some	Some	Some	Some	Little	Much	Much	Some	Much	None	Strongly agree	Neutral	Agree	Neutral	Neutral	Neutral	Disagree	Disagree	Agree	Agree	Neutral	Neutral	Agree	Neutral	Disagree	Disagree	Disagree	Agree	Neutral	Disagree	Agree	Disagree	5	3	3	1	2	2	4	4	3	4	Female	White	I am a first-year college undergraduate.	Yes	Biology/Environmental Science	Definitely yes	My goal is to go to graduate school for a Masters Degree in the life sciences	Much	Much	Extensive	Much	Extensive	Extensive	Some	Some	Much	Extensive	Much	Extensive	Much	Much	Extensive	Much	Extensive	Extensive	Some	Little	Much	Some	Much	Much	Much	Small gain	Large gain	Large gain	Large gain	Moderate gain	Large gain	Moderate gain	Large gain	Moderate gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Large gain	Small gain	Large gain	Moderate gain	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Agree	Disagree	Disagree	Neutral	Strongly disagree	Disagree	Agree	Agree	Neutral	Neutral	Agree	Neutral	Disagree	Disagree	Disagree	Agree	Neutral	Disagree	Agree	Disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology and dance minor	Definitely yes
R_2TUbAriixamMwwr	Fall 2023	Agree	My goal is to go to graduate school for a Masters or a Ph.D. degree in a social science (including psychology, sociology, anthropology, economics, and political science).	Moderately important	Moderately important	Moderately important	Very important	Very important	Very important	Very important	Very important	Moderately important	Very important	Much	Some	Some	Some	Much	Some	Much	Extensive	Much	Much	Much	Much	Extensive	Much	Much	Much	Much	Some	Much	Extensive	Much	Extensive	Extensive	Much	Some	Strongly agree	Disagree	Agree	Disagree	Strongly disagree	Disagree	Disagree	Strongly disagree	Neutral	Agree	Strongly disagree	Neutral	Agree	Neutral	Disagree	Disagree	Disagree	Strongly agree	Neutral	Neutral	Neutral	Strongly disagree	5	6	6	4	2	3	5	5	2	5	Male	Two or more races	I am a first-year college undergraduate.	No	International relations	I am not sure	My goal is to go to a type of graduate education not mentioned above, such as law school.	Much	Much	Extensive	Extensive	Extensive	Extensive	Much	Much	Extensive	Extensive	Much	Some	Extensive	Extensive	Much	Extensive	Much	Much	Much	Little	Little	Little	Much	Extensive	Much	Small gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Moderate gain	Large gain	Very large gain	Moderate gain	Large gain	Moderate gain	Large gain	Very large gain	Moderate gain	Large gain	Moderate gain	Large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Disagree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Disagree	Agree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Strongly agree	Agree	Disagree	Neutral	Disagree	Male	Two or more races	I am a first-year college undergraduate.	No	NA	It is unlikely
R_u7zGvHYrcAhnZpD	Fall 2023	Agree	My goal is to go to school for a medical degree (M.D.).	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Little	Much	None	Much	Some	Little	Much	Some	Extensive	Some	Some	Little	Much	Much	Some	Little	Some	None	Some	Extensive	Extensive	Extensive	Extensive	Much	Little	Strongly agree	Strongly agree	Agree	Neutral	Strongly disagree	Disagree	Disagree	Disagree	Agree	Strongly agree	Agree	Agree	Strongly agree	Agree	Disagree	Neutral	Disagree	Neutral	Disagree	Neutral	Agree	Disagree	6	2	4	4	2	3	3	4	4	5	Female	Two or more races	I am a first-year college undergraduate.	Yes	Biology (BS)	Definitely yes	My goal is to go to school for a medical degree (M.D.).	Some	Some	Much	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Little	None	None	Extensive	Extensive	Extensive	Small gain	Large gain	Large gain	Very large gain	Very large gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Moderate gain	Very large gain	Moderate gain	Moderate gain	Moderate gain	Agree	Strongly agree	Agree	Strongly agree	Agree	Neutral	Agree	Disagree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Neutral	Disagree	Agree	Disagree	Agree	Neutral	Disagree	Agree	Strongly disagree	Female	Two or more races	I am a first-year college undergraduate.	Yes	Biology (BS)	Definitely yes
R_x6i0e3t97mdwbND	Fall 2023	Agree	My goal is to go to school for a medical degree (M.D.).	Not important	Very important	Not important	Very important	Very important	Very important	Very important	Very important	Not important	Moderately important	Some	Much	Little	Much	Some	Little	Little	Much	Much	Much	Some	Little	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Agree	Agree	Strongly agree	Neutral	Neutral	Agree	Disagree	Disagree	Disagree	Strongly agree	Neutral	Agree	Strongly agree	Strongly agree	Disagree	Disagree	Disagree	Agree	Agree	Neutral	Agree	Disagree	6	5	4	3	1	3	3	5	5	6	Female	Black or African American	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	My goal is to go to school for a medical degree (M.D.).	Much	Some	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Some	Some	Extensive	Extensive	Some	Large gain	Very large gain	Very large gain	Large gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Very large gain	Moderate gain	Large gain	Large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Agree	Neutral	Disagree	Disagree	Disagree	Disagree	Neutral	Agree	Neutral	Agree	Strongly agree	Neutral	Disagree	Neutral	Disagree	Agree	Neutral	Neutral	Agree	Neutral	Female	Black or African American	I am a first-year college undergraduate.	Yes	Biology	Prefer not to answer
R_W7No6K2t3ZwNOM1	Fall 2023	Agree	My goal is to go to school for other health professions.	NA	Very important	Very important	Very important	Very important	Moderately important	Very important	Very important	Not important	Not important	Some	Some	Much	Much	Little	None	Little	Some	Much	Extensive	Some	Some	Much	Some	Little	Some	Some	Little	Some	Some	Some	Much	Much	Little	Little	Agree	Agree	Neutral	NA	Neutral	Neutral	Neutral	Disagree	Disagree	Agree	Neutral	Disagree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Neutral	Disagree	Neutral	Agree	Disagree	4	2	4	5	4	5	3	5	5	3	Male	White	I am a first-year college undergraduate.	Yes	Biology	It is likely	My goal is to go to school for other health professions.	Some	Some	Much	Much	Much	Much	Some	Some	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Much	Much	Much	None	None	None	None	Extensive	Extensive	Some	No gain or very small gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Very large gain	Moderate gain	Large gain	Large gain	Large gain	Moderate gain	Very large gain	Large gain	Agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Neutral	Neutral	Disagree	Disagree	Disagree	Disagree	Agree	Neutral	Neutral	Agree	Neutral	Disagree	Disagree	Disagree	Agree	Neutral	Neutral	Neutral	Disagree	Male	White	I am a first-year college undergraduate.	No	N/a	Definitely yes
R_2Cpk8rq62HZgYL6	Fall 2023	Agree	My goal is to go to school for other health professions.	Not important	Moderately important	Moderately important	Moderately important	Very important	Very important	Very important	Very important	Not important	Moderately important	Some	Little	Little	Some	Some	Some	Extensive	Extensive	Extensive	Extensive	Much	Some	Much	Much	Much	Much	Some	Some	Much	Much	Much	Much	Much	Much	Some	Agree	Neutral	Agree	Neutral	Disagree	Disagree	Disagree	Disagree	Neutral	Agree	Disagree	Neutral	Agree	Agree	Neutral	Disagree	Disagree	Agree	Neutral	Neutral	Agree	Disagree	5	3	5	3	2	3	3	4	4	5	Male	White	I am a first-year college undergraduate.	Yes	Biology; pre-health track	Definitely yes	My goal is to go to school for other health professions.	Much	Much	Much	Much	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Much	Much	Extensive	Extensive	Extensive	Much	Extensive	Much	Much	Extensive	Much	Large gain	Large gain	Very large gain	Large gain	Large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Neutral	Strongly agree	Agree	Neutral	Agree	Neutral	Disagree	Disagree	Strongly disagree	Agree	Agree	Disagree	Neutral	Disagree	Male	White	I am a first-year college undergraduate.	Yes	BS in Biology	Prefer not to answer
R_AoEm3tzcqwdeCNH	Fall 2023	Agree	My goal is to go to school for an M.D./Ph.D.	Very important	Very important	Very important	Moderately important	Very important	Moderately important	Very important	Very important	Moderately important	Moderately important	Some	Some	None	Much	Some	Little	Much	Little	Much	Some	Some	Some	Some	Some	Little	Much	Some	Little	Much	Much	Much	Much	Much	Much	None	Agree	Agree	Agree	Agree	Agree	Agree	Neutral	Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	2	2	2	3	3	4	4	2	1	1	Male	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	My goal is to go to school for an M.D./Ph.D.	Little	Little	Much	Much	Much	Much	Some	Little	Much	Much	Much	Some	Some	Some	Some	Some	Little	Little	Much	Little	Little	None	Extensive	Much	Some	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Small gain	Moderate gain	Moderate gain	Moderate gain	Small gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Small gain	Large gain	Small gain	Agree	Agree	Agree	Agree	Agree	Neutral	Agree	Agree	Neutral	Neutral	Neutral	Agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Neutral	Neutral	Neutral	Agree	Agree	Agree	Neutral	Agree	Male	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
